Sample description: CaMK2a_WT_4mgmL_20mMMES_150mMNaCl_1mMDTT
Sample: CaMK2a_WT_4mgmL  c= 6.08 mg/ml  Code: CaMK2a_WT_4mgmL_MES_red
Parent(s): /Users/nqd670/Documents/Projects/CamKIIa_local/P12_Oct2022/analysis/FINAL_WT_6x_highconc/sub_002.dat
  8.971130e-01   2.421222e-03   7.829192e-05
  8.999080e-01   2.629725e-03   7.884148e-05
  9.027030e-01   2.512563e-03   7.822714e-05
  9.054980e-01   2.534673e-03   7.740979e-05
  9.082920e-01   2.479988e-03   7.793781e-05
  9.110870e-01   2.521439e-03   7.746867e-05
  9.138820e-01   2.563150e-03   7.696141e-05
  9.166770e-01   2.280405e-03   7.737982e-05
  9.194710e-01   2.528571e-03   7.984607e-05
  9.222660e-01   2.510660e-03   7.987717e-05
  9.250610e-01   2.556801e-03   7.988322e-05
  9.278560e-01   2.312852e-03   7.939582e-05
  9.306500e-01   2.467120e-03   8.090505e-05
  9.334450e-01   2.355521e-03   8.042112e-05
  9.362400e-01   2.521549e-03   8.184826e-05
  9.390340e-01   2.451166e-03   8.120061e-05
  9.418290e-01   2.505686e-03   8.216546e-05
  9.446240e-01   2.471099e-03   8.291694e-05
  9.474190e-01   2.342140e-03   8.223732e-05
  9.502130e-01   2.481814e-03   8.304855e-05
  9.530080e-01   2.479571e-03   8.347563e-05
  9.558030e-01   2.554771e-03   8.473250e-05
  9.585980e-01   2.493112e-03   8.423130e-05
  9.613920e-01   2.475446e-03   8.395064e-05
  9.641870e-01   2.361576e-03   8.377735e-05
  9.669820e-01   2.452562e-03   8.419609e-05
  9.697770e-01   2.468345e-03   8.517383e-05
  9.725710e-01   2.408893e-03   8.408936e-05
  9.753660e-01   2.519765e-03   8.551293e-05
  9.781610e-01   2.335071e-03   8.410163e-05
  9.809560e-01   2.414474e-03   8.504173e-05
  9.837500e-01   2.455000e-03   8.275128e-05
  9.865450e-01   2.302352e-03   8.032276e-05
  9.893400e-01   2.421895e-03   8.151452e-05
  9.921350e-01   2.310020e-03   8.001419e-05
  9.949290e-01   2.138826e-03   7.784451e-05
  9.977240e-01   2.308979e-03   7.875715e-05
  1.000520e+00   2.480924e-03   7.940762e-05
  1.003310e+00   2.312653e-03   7.844429e-05
  1.006110e+00   2.294059e-03   7.797574e-05
  1.008900e+00   2.332691e-03   7.743765e-05
  1.011700e+00   2.127836e-03   7.611018e-05
  1.014490e+00   2.435347e-03   7.765179e-05
  1.017290e+00   2.206589e-03   7.658576e-05
  1.020080e+00   2.334237e-03   7.640084e-05
  1.022880e+00   2.346141e-03   7.706322e-05
